Classifier,Dataset,Fit-Time,Predict-Time
WEASEL (dilation),Lightning7,2.07,0.99
WEASEL (dilation),Mallat,3.57,119.68
WEASEL (dilation),Meat,2.15,1.11
WEASEL (dilation),MedicalImages,9.34,6.78
WEASEL (dilation),MiddlePhalanxOutlineAgeGroup,8.42,1.15
WEASEL (dilation),MiddlePhalanxOutlineCorrect,12.62,2.03
WEASEL (dilation),MiddlePhalanxTW,8.36,1.14
WEASEL (dilation),MixedShapesRegularTrain,92.49,378.95
WEASEL (dilation),MixedShapesSmallTrain,6.06,128.44
WEASEL (dilation),MoteStrain,0.98,6.62
WEASEL (dilation),NonInvasiveFetalECGThorax1,327.61,271.14
WEASEL (dilation),NonInvasiveFetalECGThorax2,303.27,234.29
WEASEL (dilation),OliveOil,1.55,0.73
WEASEL (dilation),OSULeaf,5.88,4.04
WEASEL (dilation),PhalangesOutlinesCorrect,47.76,6.83
WEASEL (dilation),Phoneme,14.62,105.62
WEASEL (dilation),PickupGestureWiimoteZ,4.15,1.0
WEASEL (dilation),PigAirwayPressure,12.34,17.64
WEASEL (dilation),PigArtPressure,11.41,16.67
WEASEL (dilation),PigCVP,12.07,16.89
WEASEL (dilation),Plane,2.07,0.73
WEASEL (dilation),PowerCons,3.03,1.37
WEASEL (dilation),ProximalPhalanxOutlineAgeGroup,8.66,1.5
WEASEL (dilation),ProximalPhalanxOutlineCorrect,12.15,1.99
WEASEL (dilation),ProximalPhalanxTW,8.26,1.5
WEASEL (dilation),RefrigerationDevices,51.01,35.89
WEASEL (dilation),Rock,3.6,5.45
WEASEL (dilation),ScreenType,61.41,43.9
WEASEL (dilation),SemgHandGenderCh2,97.09,167.07
WEASEL (dilation),SemgHandMovementCh2,134.51,104.55
WEASEL (dilation),SemgHandSubjectCh2,153.46,121.9
WEASEL (dilation),ShakeGestureWiimoteZ,1.83,0.82
WEASEL (dilation),ShapeletSim,1.3,3.89
WEASEL (dilation),ShapesAll,60.43,38.12
WEASEL (dilation),SmallKitchenAppliances,62.43,48.23
WEASEL (dilation),SmoothSubspace,1.57,0.31
WEASEL (dilation),SonyAIBORobotSurface1,0.88,2.47
WEASEL (dilation),SonyAIBORobotSurface2,0.97,3.78
WEASEL (dilation),StarLightCurves,232.91,1263.43
WEASEL (dilation),Strawberry,34.18,9.89
WEASEL (dilation),SwedishLeaf,20.62,9.83
WEASEL (dilation),Symbols,1.23,17.67
WEASEL (dilation),SyntheticControl,6.47,1.82
WEASEL (dilation),ToeSegmentation1,1.44,2.6
WEASEL (dilation),ToeSegmentation2,1.4,2.16
WEASEL (dilation),Trace,2.45,1.16
WEASEL (dilation),TwoLeadECG,0.83,5.6
WEASEL (dilation),TwoPatterns,42.0,75.31
WEASEL (dilation),UMD,1.17,1.01
WEASEL (dilation),UWaveGestureLibraryAll,181.52,489.99
WEASEL (dilation),UWaveGestureLibraryX,67.36,178.61
WEASEL (dilation),UWaveGestureLibraryY,67.44,178.61
WEASEL (dilation),Wafer,47.2,170.54
WEASEL (dilation),Wine,1.4,0.55
WEASEL (dilation),WordSynonyms,17.85,22.21
WEASEL (dilation),Worms,10.62,3.26
WEASEL (dilation),WormsTwoClass,9.87,2.83
WEASEL (dilation),Yoga,26.7,195.26
HC2,Chinatown,7462.8,61.4
HC2,BME,7709.5,85.25
HC2,BirdChicken,7786.07,31.48
HC2,Coffee,7801.17,24.14
HC2,BeetleFly,7843.71,35.54
HC2,ECGFiveDays,7617.9,369.43
HC2,FaceFour,7911.02,103.55
HC2,DiatomSizeReduction,7717.78,329.86
HC2,CBF,7717.51,421.96
HC2,GunPoint,8067.79,101.76
HC2,ArrowHead,8033.63,152.62
HC2,Beef,8268.33,46.99
HC2,ECG200,8608.51,50.49
HC2,Car,9210.43,92.51
HC2,FreezerSmallTrain,7804.05,2106.04
HC2,DistalPhalanxOutlineAgeGroup,12564.53,111.99
HC2,Fish,12735.64,348.49
HC2,DistalPhalanxTW,12995.24,127.79
HC2,FacesUCR,11288.83,1928.93
HC2,FreezerRegularTrain,10150.53,3570.75
HC2,ACSF1,13667.66,560.91
HC2,Earthquakes,15779.05,212.84
HC2,DistalPhalanxOutlineCorrect,15824.48,282.6
HC2,InsectEPGSmallTrain,7798.29,463.88
HC2,ItalyPowerDemand,7833.91,251.96
HC2,Computers,16071.14,815.37
HC2,Herring,8968.05,86.58
HC2,GunPointOldVersusYoung,9096.47,198.47
HC2,GunPointAgeSpan,9343.07,248.83
HC2,GunPointMaleVersusFemale,9196.95,209.98
HC2,CinCECGTorso,9577.48,8021.18
HC2,InsectEPGRegularTrain,9029.35,576.05
HC2,Ham,10125.31,207.55
HC2,HouseTwenty,9793.93,776.45
HC2,Lightning2,9147.49,117.49
HC2,Adiac,19038.43,516.44
HC2,ECG5000,14937.41,4911.59
HC2,CricketX,19501.14,688.09
HC2,CricketZ,19621.43,704.65
HC2,CricketY,19649.4,683.2
HC2,FaceAll,19442.92,2406.31
HC2,Meat,8680.44,100.45
HC2,Lightning7,9148.1,89.58
HC2,InsectWingbeatSound,13233.02,2396.86
HC2,MoteStrain,7519.0,497.33
HC2,FiftyWords,24114.45,936.87
HC2,Haptics,15935.68,1273.25
HC2,OliveOil,8138.83,50.28
HC2,ChlorineConcentration,18869.56,7045.63
HC2,InlineSkate,14629.58,3462.86
HC2,PickupGestureWiimoteZ,8741.1,50.39
HC2,MiddlePhalanxOutlineAgeGroup,12825.94,144.37
HC2,Plane,8850.49,82.25
HC2,MedicalImages,14800.03,776.81
HC2,EOGHorizontalSignal,27343.16,1625.52
HC2,PowerCons,9770.39,103.17
HC2,EOGVerticalSignal,28299.71,1561.9
HC2,MiddlePhalanxTW,14002.69,152.68
HC2,MiddlePhalanxOutlineCorrect,15958.92,295.94
HC2,Mallat,9538.66,8039.12
HC2,LargeKitchenAppliances,20428.66,1014.71
HC2,OSULeaf,13460.69,504.6
HC2,Rock,9187.53,484.97
HC2,ProximalPhalanxOutlineAgeGroup,12650.63,157.88
HC2,ShapeletSim,7801.01,300.54
HC2,ProximalPhalanxTW,12944.74,184.99
HC2,ShakeGestureWiimoteZ,8827.29,79.32
HC2,SonyAIBORobotSurface1,7464.85,189.15
HC2,SmoothSubspace,8575.35,53.06
HC2,ProximalPhalanxOutlineCorrect,15671.27,265.69
HC2,SonyAIBORobotSurface2,7553.86,314.83
HC2,PigAirwayPressure,18355.52,1292.46
HC2,PigArtPressure,18191.34,1436.55
HC2,ToeSegmentation1,8123.6,216.06
HC2,PigCVP,18322.17,1333.28
HC2,ToeSegmentation2,8074.71,134.53
HC2,MixedShapesSmallTrain,11288.04,11254.91
HC2,TwoLeadECG,7553.36,428.52
HC2,Symbols,7966.82,1306.67
HC2,Trace,9146.43,102.28
HC2,UMD,7930.7,97.04
HC2,SyntheticControl,10754.41,179.7
HC2,Wine,8386.19,57.84
HC2,EthanolLevel,41358.65,3650.06
HC2,RefrigerationDevices,21928.69,1332.47
HC2,ScreenType,22419.77,1218.2
HC2,SwedishLeaf,16596.79,732.57
HC2,SmallKitchenAppliances,20828.77,1030.86
HC2,SemgHandGenderCh2,22386.14,2575.01
HC2,Strawberry,19799.06,771.67
HC2,Phoneme,22482.54,10025.2
HC2,WormsTwoClass,14009.46,280.0
HC2,Worms,15255.3,280.09
HC2,WordSynonyms,16262.34,1017.12
HC2,PhalangesOutlinesCorrect,38651.5,1396.46
HC2,Yoga,14717.13,6027.67
HC2,SemgHandSubjectCh2,34083.61,2317.8
HC2,SemgHandMovementCh2,34670.09,2256.63
HC2,TwoPatterns,25175.23,6551.22
HC2,ShapesAll,35258.3,2203.86
HC2,Wafer,23562.69,9073.56
HC2,MixedShapesRegularTrain,30315.31,21850.91
HC2,UWaveGestureLibraryX,33662.05,9102.34
HC2,UWaveGestureLibraryY,34277.77,8708.87
HC2,UWaveGestureLibraryZ,34278.62,10205.68
HC2,UWaveGestureLibraryAll,47312.46,18812.04
HC2,HandOutlines,91948.97,4689.82
HC2,NonInvasiveFetalECGThorax2,90989.34,7851.4
HC2,NonInvasiveFetalECGThorax1,92782.11,9338.34
HC2,StarLightCurves,47305.53,63348.05
HC2,FordB,156517.56,5131.98
HC2,FordA,175132.7,10519.09
HC2,Crop,197419.44,52391.4
HC2,ElectricDevices,200000,52391.4
